,Name,Team,GP,MPG,ORPM,DRPM,RPM,WINS
0,"LeBron James, SF",MIA,77,37.7,8.65,0.43,9.08,19.87
1,"Chris Paul, PG",LAC,62,35.0,6.03,1.95,7.98,14.47
2,"Andre Iguodala, SF",GS,63,32.4,1.89,4.74,6.63,11.47
3,"Kevin Durant, SF",OKC,81,38.5,6.27,0.15,6.42,17.63
4,"Dirk Nowitzki, PF",DAL,80,32.9,4.56,1.79,6.35,14.05
5,"Stephen Curry, PG",GS,78,36.5,6.62,-0.38,6.24,15.48
6,"Nick Collison, PF",OKC,81,16.7,2.08,3.64,5.72,6.90
7,"Manu Ginobili, SG",SA,68,22.8,5.07,0.35,5.42,7.68
8,"Tim Duncan, C",SA,74,29.2,-0.05,5.38,5.33,10.39
9,"LaMarcus Aldridge, PF",POR,69,36.2,1.89,3.23,5.12,11.64
10,"Channing Frye, PF",PHX,82,28.2,3.92,1.17,5.09,10.83
11,"Kevin Love, PF",MIN,77,36.3,3.52,1.54,5.06,13.52
12,"Russell Westbrook, PG",OKC,46,30.7,4.82,0.23,5.05,6.89
13,"Mike Conley, PG",MEM,73,33.5,4.28,0.42,4.70,10.24
14,"Blake Griffin, PF",LAC,80,35.8,2.65,2.00,4.65,12.79
15,"Amir Johnson, PF",TOR,77,28.8,1.47,3.14,4.61,9.22
16,"Joakim Noah, C",CHI,80,35.3,0.65,3.92,4.57,11.30
17,"Vince Carter, SG",DAL,81,24.4,2.02,2.46,4.48,8.35
18,"Serge Ibaka, PF",OKC,81,32.9,1.23,3.23,4.46,11.63
19,"Patrick Beverley, PG",HOU,56,31.3,2.98,1.29,4.27,7.27
20,"Kyle Lowry, PG",TOR,79,36.2,3.84,0.41,4.25,11.56
21,"Dwight Howard, C",HOU,71,33.7,-0.67,4.91,4.24,9.86
22,"Taj Gibson, PF",CHI,82,28.7,0.56,3.64,4.20,8.84
23,"Marcin Gortat, C",WSH,81,32.8,0.12,4.00,4.12,10.37
24,"Eric Bledsoe, PG",PHX,43,32.9,0.11,3.97,4.08,5.79
25,"Anderson Varejao, C",CLE,65,27.7,0.47,3.59,4.06,6.88
26,"Chris Andersen, PF",MIA,72,19.4,0.19,3.81,4.00,5.17
27,"Patty Mills, PG",SA,81,18.9,3.42,0.58,4.00,6.07
28,"Ricky Rubio, PG",MIN,82,32.2,1.43,2.47,3.90,10.76
29,"Kevin Garnett, PF",BKN,54,20.5,-2.78,6.60,3.82,4.02
30,"Tyson Chandler, C",NY,55,30.2,-0.08,3.75,3.67,5.80
31,"David West, PF",IND,80,30.9,1.23,2.37,3.60,8.87
32,"Marc Gasol, C",MEM,59,33.4,-1.64,5.23,3.59,6.87
33,"DeAndre Jordan, C",LAC,82,35.0,0.19,3.37,3.56,10.85
34,"Tiago Splitter, C",SA,59,21.5,-1.01,4.53,3.52,4.70
35,"Danny Green, SG",SA,68,24.3,0.79,2.72,3.51,6.13
36,"Nikola Pekovic, C",MIN,54,30.8,1.31,2.19,3.50,6.37
37,"Draymond Green, PF",GS,82,21.9,-0.49,3.99,3.50,6.54
38,"Goran Dragic, PG",PHX,76,35.1,4.57,-1.14,3.43,9.73
39,"Ty Lawson, PG",DEN,62,35.8,4.38,-1.08,3.30,8.32
40,"LeBron James, SF",MIA,77,37.7,8.65,0.43,9.08,19.87
41,"Chris Paul, PG",LAC,62,35.0,6.03,1.95,7.98,14.47
42,"Andre Iguodala, SF",GS,63,32.4,1.89,4.74,6.63,11.47
43,"Kevin Durant, SF",OKC,81,38.5,6.27,0.15,6.42,17.63
44,"Dirk Nowitzki, PF",DAL,80,32.9,4.56,1.79,6.35,14.05
45,"Stephen Curry, PG",GS,78,36.5,6.62,-0.38,6.24,15.48
46,"Nick Collison, PF",OKC,81,16.7,2.08,3.64,5.72,6.90
47,"Manu Ginobili, SG",SA,68,22.8,5.07,0.35,5.42,7.68
48,"Tim Duncan, C",SA,74,29.2,-0.05,5.38,5.33,10.39
49,"LaMarcus Aldridge, PF",POR,69,36.2,1.89,3.23,5.12,11.64
50,"Channing Frye, PF",PHX,82,28.2,3.92,1.17,5.09,10.83
51,"Kevin Love, PF",MIN,77,36.3,3.52,1.54,5.06,13.52
52,"Russell Westbrook, PG",OKC,46,30.7,4.82,0.23,5.05,6.89
53,"Mike Conley, PG",MEM,73,33.5,4.28,0.42,4.70,10.24
54,"Blake Griffin, PF",LAC,80,35.8,2.65,2.00,4.65,12.79
55,"Amir Johnson, PF",TOR,77,28.8,1.47,3.14,4.61,9.22
56,"Joakim Noah, C",CHI,80,35.3,0.65,3.92,4.57,11.30
57,"Vince Carter, SG",DAL,81,24.4,2.02,2.46,4.48,8.35
58,"Serge Ibaka, PF",OKC,81,32.9,1.23,3.23,4.46,11.63
59,"Patrick Beverley, PG",HOU,56,31.3,2.98,1.29,4.27,7.27
60,"Kyle Lowry, PG",TOR,79,36.2,3.84,0.41,4.25,11.56
61,"Dwight Howard, C",HOU,71,33.7,-0.67,4.91,4.24,9.86
62,"Taj Gibson, PF",CHI,82,28.7,0.56,3.64,4.20,8.84
63,"Marcin Gortat, C",WSH,81,32.8,0.12,4.00,4.12,10.37
64,"Eric Bledsoe, PG",PHX,43,32.9,0.11,3.97,4.08,5.79
65,"Anderson Varejao, C",CLE,65,27.7,0.47,3.59,4.06,6.88
66,"Chris Andersen, PF",MIA,72,19.4,0.19,3.81,4.00,5.17
67,"Patty Mills, PG",SA,81,18.9,3.42,0.58,4.00,6.07
68,"Ricky Rubio, PG",MIN,82,32.2,1.43,2.47,3.90,10.76
69,"Kevin Garnett, PF",BKN,54,20.5,-2.78,6.60,3.82,4.02
70,"Tyson Chandler, C",NY,55,30.2,-0.08,3.75,3.67,5.80
71,"David West, PF",IND,80,30.9,1.23,2.37,3.60,8.87
72,"Marc Gasol, C",MEM,59,33.4,-1.64,5.23,3.59,6.87
73,"DeAndre Jordan, C",LAC,82,35.0,0.19,3.37,3.56,10.85
74,"Tiago Splitter, C",SA,59,21.5,-1.01,4.53,3.52,4.70
75,"Danny Green, SG",SA,68,24.3,0.79,2.72,3.51,6.13
76,"Nikola Pekovic, C",MIN,54,30.8,1.31,2.19,3.50,6.37
77,"Draymond Green, PF",GS,82,21.9,-0.49,3.99,3.50,6.54
78,"Goran Dragic, PG",PHX,76,35.1,4.57,-1.14,3.43,9.73
79,"Ty Lawson, PG",DEN,62,35.8,4.38,-1.08,3.30,8.32
80,"Kyle Korver, SG",ATL,71,33.9,2.53,0.73,3.26,8.35
81,"DeMarre Carroll, SF",ATL,73,32.1,1.29,1.92,3.21,8.10
82,"Deron Williams, PG",BKN,64,32.2,4.87,-1.67,3.20,6.89
83,"Chris Bosh, PF",MIA,79,32.0,0.14,3.04,3.18,8.41
84,"James Harden, PG",HOU,73,38.0,5.97,-2.84,3.13,9.67
85,"Mike Dunleavy, SG",CHI,82,31.5,1.16,1.91,3.07,8.22
86,"Kawhi Leonard, SF",SA,66,29.1,0.89,2.13,3.02,6.56
87,"Luol Deng, SF",CHI/CLE,63,35.1,1.15,1.82,2.97,7.00
88,"Omer Asik, C",HOU,48,20.2,-2.04,4.87,2.83,3.26
89,"Damian Lillard, PG",POR,82,35.8,4.74,-1.95,2.79,9.40
90,"Matt Bonner, C",SA,61,11.3,2.16,0.61,2.77,2.16
91,"Joe Johnson, SG",BKN,79,32.6,3.55,-0.80,2.75,7.80
92,"Carmelo Anthony, PF",NY,77,38.7,3.77,-1.02,2.75,8.93
93,"Paul George, SF",IND,80,36.2,0.16,2.58,2.74,8.88
94,"Tony Parker, PG",SA,68,29.4,3.11,-0.40,2.71,6.40
95,"Pablo Prigioni, PG",NY,66,19.4,1.73,0.81,2.54,3.61
96,"Paul Pierce, SF",BKN,75,28.0,-0.63,3.13,2.50,6.10
97,"George Hill, PG",IND,76,32.0,1.93,0.56,2.49,7.03
98,"Robin Lopez, C",POR,82,31.8,-0.33,2.76,2.43,7.69
99,"Jrue Holiday, PG",NO,34,33.6,0.41,2.00,2.41,3.33
100,"Matt Barnes, SF",LAC,63,27.5,1.95,0.39,2.34,5.24
101,"Tony Allen, SG",MEM,55,23.2,-0.41,2.74,2.33,3.61
102,"Isaiah Thomas, PG",SAC,72,34.7,3.85,-1.62,2.23,7.20
103,"Kobe Bryant, SF",LAL,6,29.5,3.87,-1.65,2.22,0.52
104,"John Wall, PG",WSH,82,36.3,2.66,-0.44,2.22,8.30
105,"Brook Lopez, C",BKN,17,31.4,0.43,1.78,2.21,1.46
106,"Al Jefferson, C",CHA,73,35.0,1.12,1.02,2.14,6.84
107,"Nene Hilario, C",WSH,53,29.4,-1.99,4.12,2.13,4.31
108,"Jimmy Butler, SG",CHI,67,38.7,0.90,1.23,2.13,6.77
109,"Paul Millsap, PF",ATL,74,33.5,0.04,2.06,2.10,6.84
110,"Andre Miller, PG",DEN/WSH,58,16.9,1.85,0.24,2.09,2.59
111,"Zach Randolph, PF",MEM,79,34.2,1.06,1.03,2.09,7.09
112,"Anthony Tolliver, PF",CHA,64,20.3,-0.12,2.21,2.09,3.54
113,"Andrew Bogut, C",GS,67,26.4,-3.10,5.16,2.06,5.03
114,"Klay Thompson, SG",GS,81,35.4,2.20,-0.17,2.03,7.91
115,"Avery Bradley, SG",BOS,60,30.9,0.76,1.22,1.98,5.05
116,"Chandler Parsons, SF",HOU,74,37.6,1.37,0.59,1.96,7.59
117,"Boris Diaw, C",SA,79,25.0,0.61,1.34,1.95,5.38
118,"Dwyane Wade, SG",MIA,54,32.9,1.19,0.73,1.92,4.66
119,"Danny Granger, SF",IND/LAC,41,20.7,0.61,1.30,1.91,2.27
120,"Jae Crowder, PF",DAL,78,16.1,0.10,1.81,1.91,3.31
121,"Larry Sanders, PF",MIL,23,25.4,-4.46,6.29,1.83,1.50
122,"Greg Monroe, C",DET,82,32.8,0.95,0.87,1.82,7.07
123,"Roy Hibbert, C",IND,81,29.7,-1.44,3.22,1.78,5.93
124,"Mario Chalmers, PG",MIA,73,29.8,0.94,0.82,1.76,5.41
125,"Derrick Rose, PG",CHI,10,31.1,2.67,-0.91,1.76,0.71
126,"Steve Novak, SF",TOR,54,10.0,2.01,-0.26,1.75,1.34
127,"Jason Thompson, PF",SAC,82,24.5,0.29,1.46,1.75,5.14
128,"Matthew Dellavedova, PG",CLE,72,17.7,1.57,0.15,1.72,3.18
129,"Thaddeus Young, PF",PHI,79,34.4,0.85,0.85,1.70,7.19
130,"Reggie Jackson, PG",OKC,80,28.5,1.04,0.66,1.70,5.84
131,"Devin Harris, PG",DAL,40,20.5,2.03,-0.34,1.69,2.01
132,"Kemba Walker, PG",CHA,73,35.8,0.79,0.79,1.58,6.12
133,"Rudy Gay, SF",SAC/TOR,73,34.7,0.68,0.85,1.53,6.07
134,"Patrick Patterson, PF",SAC/TOR,65,23.6,0.42,1.11,1.53,3.61
135,"Al Horford, PF",ATL,29,33.0,-0.69,2.19,1.50,2.29
136,"Pero Antic, PF",ATL,50,18.5,-0.89,2.39,1.50,2.21
137,"Anthony Davis, PF",NO,67,35.2,0.65,0.78,1.43,5.46
138,"Josh Smith, PF",DET,77,35.5,-0.38,1.78,1.40,6.46
139,"Monta Ellis, SG",DAL,82,36.9,2.92,-1.52,1.40,7.04
140,"Iman Shumpert, SG",NY,74,26.5,-0.63,2.00,1.37,4.26
141,"Jared Sullinger, C",BOS,74,27.6,-0.25,1.58,1.33,4.69
142,"Michael Kidd-Gilchrist, SF",CHA,62,24.2,-0.78,2.07,1.29,3.26
143,"David Lee, PF",GS,69,33.2,-0.13,1.35,1.22,5.24
144,"Brandan Wright, PF",DAL,58,18.6,1.62,-0.43,1.19,2.29
145,"Ryan Anderson, PF",NO,22,36.1,3.04,-1.87,1.17,1.69
146,"Greivis Vasquez, PG",SAC/TOR,79,22.5,1.41,-0.25,1.16,3.70
147,"Corey Brewer, SF",MIN,81,32.2,2.03,-0.89,1.14,6.03
148,"Shane Battier, SF",MIA,73,20.1,-0.20,1.32,1.12,3.12
149,"CJ Miles, SF",CLE,51,19.3,0.89,0.21,1.10,2.12
150,"Josh Harrellson, C",DET,32,9.9,-2.31,3.39,1.08,0.68
151,"JR Smith, SG",NY,74,32.7,1.82,-0.75,1.07,4.82
152,"Al-Farouq Aminu, PF",NO,80,25.6,-1.01,2.07,1.06,4.25
153,"Pau Gasol, C",LAL,60,31.4,-0.16,1.20,1.04,4.24
154,"Lance Stephenson, SG",IND,78,35.3,0.90,0.14,1.04,5.66
155,"Kosta Koufos, C",MEM,80,16.9,-1.67,2.67,1.00,2.71
156,"Andrei Kirilenko, SF",BKN,45,19.0,-0.20,1.18,0.98,1.73
157,"Kenyon Martin, PF",NY,32,19.8,-2.86,3.83,0.97,1.24
158,"Trevor Ariza, SF",WSH,77,35.4,-0.10,1.04,0.94,5.47
159,"Ryan Kelly, PF",LAL,59,22.2,1.95,-1.01,0.94,2.86
160,"Jeff Withey, C",NO,58,11.8,-0.79,1.70,0.91,1.37
161,"Jameer Nelson, PG",ORL,68,32.0,2.78,-1.89,0.89,4.29
162,"Raymond Felton, PG",NY,65,31.0,2.13,-1.24,0.89,3.85
163,"Landry Fields, SG",TOR,30,10.7,-0.60,1.47,0.87,0.63
164,"Kyle O'Quinn, C",ORL,69,17.2,-0.58,1.44,0.86,2.36
165,"Shavlik Randolph, PF",PHX,14,6.8,-0.48,1.31,0.83,0.19
166,"DeMarcus Cousins, C",SAC,71,32.4,-1.10,1.86,0.76,4.45
167,"Derek Fisher, PG",OKC,81,17.6,-1.21,1.95,0.74,2.76
168,"Nikola Vucevic, C",ORL,57,31.8,-1.67,2.40,0.73,3.43
169,"Robbie Hummel, SF",MIN,53,12.4,0.13,0.53,0.66,1.23
170,"Thabo Sefolosha, SF",OKC,61,26.0,-1.32,1.95,0.63,3.03
171,"Josh McRoberts, PF",CHA,78,30.3,0.03,0.59,0.62,4.12
172,"Chuck Hayes, PF",SAC/TOR,61,12.3,-1.84,2.44,0.60,1.36
173,"Gordon Hayward, SF",UTAH,77,36.4,2.17,-1.59,0.58,4.99
174,"Andre Drummond, C",DET,81,32.3,0.58,-0.06,0.52,4.71
175,"JJ Redick, SF",LAC,35,28.2,3.37,-2.86,0.51,1.81
176,"Gustavo Ayon, PF",ATL,26,16.5,-1.96,2.46,0.50,0.73
177,"Nicolas Batum, SG",POR,82,36.0,1.43,-0.95,0.48,5.20
178,"Darius Miller, SF",NO,45,16.1,-1.02,1.45,0.43,1.22
179,"Steve Nash, PG",LAL,15,20.9,1.58,-1.20,0.38,0.58
180,"Gerald Wallace, SF",BOS,58,24.4,-2.02,2.39,0.37,2.39
181,"Ryan Hollins, C",LAC,61,7.9,-3.62,3.91,0.29,0.81
182,"Zaza Pachulia, C",MIL,53,25.0,-1.45,1.71,0.26,2.12
183,"Wesley Matthews, SG",POR,82,33.9,1.26,-1.08,0.18,4.35
184,"Timofey Mozgov, C",DEN,82,21.6,-1.18,1.35,0.17,2.92
185,"Kenneth Faried, PF",DEN,80,27.2,1.34,-1.17,0.17,3.58
186,"Chris Kaman, C",LAL,39,18.9,-2.41,2.57,0.16,1.23
187,"Nate Robinson, PG",DEN,44,19.7,2.00,-1.89,0.11,1.34
188,"Jeremy Lin, PG",HOU,71,28.9,-0.19,0.28,0.09,3.20
189,"Ekpe Udoh, C",MIL,42,19.1,-2.77,2.83,0.06,1.16
190,"Nate Wolters, PG",MIL,58,22.6,-1.53,1.57,0.04,1.92
191,"Markieff Morris, PF",PHX,81,26.6,0.53,-0.55,-0.02,3.20
192,"Marvin Williams, PF",UTAH,66,25.4,-0.32,0.25,-0.07,2.31
193,"Darrell Arthur, PF",DEN,68,17.1,-2.47,2.40,-0.07,1.72
194,"Dion Waiters, SG",CLE,70,29.6,1.38,-1.45,-0.07,2.87
195,"A.J. Price, PG",MIN,28,3.5,0.03,-0.12,-0.09,0.14
196,"Brandon Davies, PF",PHI,51,11.3,-0.96,0.80,-0.16,0.81
197,"DeMar DeRozan, SG",TOR,79,38.2,0.45,-0.62,-0.17,3.92
198,"PJ Tucker, SF",PHX,81,30.7,-0.25,0.05,-0.20,3.41
199,"Andray Blatche, C",BKN,73,22.2,-0.63,0.42,-0.21,2.11
200,"Alec Burks, SG",UTAH,78,28.1,1.43,-1.68,-0.25,2.82
201,"Aron Baynes, C",SA,53,9.3,-1.56,1.30,-0.26,0.65
202,"James Jones, SG",MIA,20,11.8,-0.84,0.55,-0.29,0.28
203,"Courtney Lee, SG",BOS/MEM,79,25.0,0.51,-0.80,-0.29,2.41
204,"Marcus Morris, PF",PHX,82,22.0,0.49,-0.78,-0.29,2.34
205,"Ersan Ilyasova, PF",MIL,55,26.9,-0.25,-0.07,-0.32,1.83
206,"Jeff Ayres, PF",SA,73,13.0,-1.01,0.69,-0.32,1.23
207,"Andrew Bynum, C",CLE/IND,26,19.8,-2.89,2.55,-0.34,0.65
208,"Shelvin Mack, PG",ATL,73,20.4,0.86,-1.20,-0.34,1.84
209,"Jason Smith, PF",NO,31,26.8,-1.72,1.36,-0.36,1.00
210,"Evan Fournier, SF",DEN,76,19.8,-0.73,0.37,-0.36,1.97
211,"Samuel Dalembert, C",DAL,80,20.2,-3.48,3.10,-0.38,1.97
212,"Wilson Chandler, SF",DEN,62,31.1,-0.45,0.06,-0.39,2.46
213,"Jodie Meeks, SG",LAL,77,33.2,1.53,-1.94,-0.41,3.28
214,"Joel Anthony, PF",BOS/MIA,33,5.6,-2.34,1.85,-0.49,0.22
215,"Chris Douglas-Roberts, SG",CHA,49,20.7,-0.70,0.19,-0.51,1.08
216,"Bradley Beal, SG",WSH,73,34.7,-0.61,0.08,-0.53,2.76
217,"Hedo Turkoglu, SF",LAC,38,10.3,-0.99,0.45,-0.54,0.45
218,"Kirk Hinrich, SG",CHI,73,29.0,-1.52,0.98,-0.54,2.22
219,"Luc Mbah a Moute, PF",MIN/SAC,64,15.7,-1.81,1.25,-0.56,1.11
220,"Victor Oladipo, SG",ORL,80,31.1,-1.53,0.97,-0.56,2.73
221,"Tyler Zeller, C",CLE,70,15.0,-2.06,1.49,-0.57,1.16
222,"Ray Allen, SG",MIA,73,26.5,2.38,-2.96,-0.58,2.02
223,"Jared Dudley, SF",LAC,74,23.4,-0.74,0.15,-0.59,1.93
224,"Shaun Livingston, PG",BKN,76,26.0,-0.11,-0.49,-0.60,2.05
